country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Eritrea,0,0,0,0,0,0,0,0,0.463140607404275,0.901395515759041,1.33444199613546,1.75777696688653,2.19566526347235,2.76834161174641,3.52657834247868,4.46770988757737
Nepal,0,0,0,0.02308463431337,0.041908795215988,0.069198849776287,0.08559779956423,0.313144399398245,0.437078173320296,0.833210388775434,4.15720315668095,11.5208065965556,14.5301781074637,19.0192263086047,30.6934486326212,43.8055680878027
Kiribati,0,0,0.027132021952272,0.242353739518201,0.357100345197,0.461718293395675,0.568005783331612,0.592502478147247,0.680324785946592,0.706613906161673,0.74839095943721,0.789116505160822,1.03592591057888,10.1063992573475,10.6433206758684,13.6389265329944
Ethiopia,0,0,0,0.010552882419628,0.027077721019324,0.040859547593283,0.07295555030036,0.072507899100153,0.214450914712419,0.552933815277932,1.14049373469958,1.55496953129628,2.46018262950278,4.99053484065595,8.26285464316192,16.6717201124617
Cayman Islands,,11.6201464890699,14.085658238884,21.9674015254414,26.6202263963179,39.9990588456742,42.1127291264933,44.0029279514797,67.2329083205697,154.86530955843,172.324620196604,185.623365460232,177.797269192513,194.93033014723,177.647163435888,167.674381709531
Lithuania,1.41432790498673,4.62205993187831,7.53884144981036,9.42182890185746,14.9713088009582,29.2560226369416,47.5267747650331,60.9835604278292,88.9017091775785,127.452230082547,138.856998229786,145.368881070765,149.492216647484,148.499100744456,147.158587452021,151.297921288134
"Hong Kong, China",21.7262207210491,34.7649533239925,48.3613148360873,63.8768939473176,80.3050484003622,84.5873599273906,93.5489820771985,107.724289100064,120.655966903612,125.468897373646,138.21389146097,156.437744260692,167.189340791595,180.269236757539,195.567267515446,209.639932228682
Italy,11.2788672350171,20.6332479613558,36.0394924871141,53.2689314249895,74.1335698251417,89.592132368101,94.2627269507763,98.1087969701266,107.699840013819,121.865570651471,136.112291201565,150.938117859272,150.841157220379,146.101189248145,149.626310766118,151.837445298627
Israel,19.0928585722685,29.701755616668,37.2412345634042,48.8768009319177,73.151028777781,89.7135898950192,100.935898896323,104.191696423202,111.600859557587,117.448942944372,124.405434496353,128.638235237166,126.643960428204,124.253730469667,122.816240698803,121.657815179034
Czech Republic,1.94291648043999,5.11208059375384,9.39297131438808,18.9521394769274,42.4295194032153,67.9381393999296,84.334952740095,95.189447303729,105.694188154581,115.216662599732,120.932310185328,128.264885187169,132.790674390276,136.578217742117,121.748944053918,121.602845107878
Luxembourg,10.8859467265958,16.0265169128781,30.6902844671884,48.5754092650644,69.6395562709677,93.0729518621917,106.800457006607,120.759958775821,104.238746651053,111.549288381157,153.140343567032,143.888975308694,145.239851185646,144.683775523122,143.265910989895,148.26753446615
United Arab Emirates,7.83489619775075,11.8460643051604,17.9015981508962,28.728204462627,47.0782672505045,60.623571174558,74.602197259279,87.3968489476057,100.685476000549,111.42182693104,118.370468961518,143.029310109756,150.770153109026,153.799719404538,145.453539749377,148.61885629617
"Macao, China",11.064010592676,12.8561002311154,19.6710865164636,27.8348401572502,32.6609812743275,44.1722598889305,61.4360850064075,79.2308730324558,91.9857825651367,110.670765907061,129.006602914851,157.071161478241,179.877059693749,195.291747851542,206.428513618906,243.498023324234
United Kingdom,12.4634542322609,15.1597844885997,25.4376853135717,46.3343195774065,73.8049285732812,78.3168332932045,82.9592586083333,91.0272886640298,99.6595977398437,108.751992247793,115.758301340694,121.249486892437,125.24081072992,130.174260285279,130.756422484713,130.751936906855
Portugal,6.52618869581054,14.7577762280756,29.9895906629651,45.3818599939302,64.4815812064172,76.8566910436045,83.1793827187973,95.5750860325357,100.617222905255,108.57055086074,115.587697811324,127.049097495521,132.108129567868,110.677360557559,114.376794049068,114.920311332546
Estonia,4.89530733725568,10.2765987166367,17.764493165345,28.0442504938542,40.6347186829974,47.7831677334474,64.9396599255221,77.6831329445137,93.1241003552971,107.388823626879,123.411689252834,125.242595539563,121.0349850426,117.062019380917,123.239110010886,138.983109007808
Bahrain,6.97147747315251,9.87257709288246,15.0617518245787,21.2947436439495,32.2358596850796,46.6276011268307,60.5837369757192,68.4693524361677,96.7256162915327,105.835484480696,111.834091273216,120.550849975101,136.909742777892,119.870072795487,124.184223769352,127.964126373689
Austria,7.52101887528164,14.5479808012316,28.7470707864491,53.2317581613021,76.4174900983321,81.371104985022,83.3347869909152,89.4245125694057,97.6354315951531,105.257454997427,112.181393239479,119.281093140459,129.660171910016,136.612821652164,145.836540124885,154.783239984553
St. Kitts and Nevis,0.686278995287551,0.462733059455555,0.98021743004812,1.53917192550408,2.60399713560315,4.49726951493736,10.5692603631598,45.9069757736369,59.7408483200461,103.715453602587,102.387022946739,127.836686155981,145.786857657235,145.888081620034,152.665928781344,
Norway,28.7663629362718,38.0038086241175,46.6745719094766,59.6551822976382,71.7902744218868,79.5976386993839,83.5611790195738,89.0794443981345,98.6419146439778,102.836827736391,104.286195902075,106.684306025223,109.044814990043,110.873764636423,115.677751335163,116.754872434642
